tahun,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,persentase_penduduk_miskin,persentase_pengangguran,Jumlah Sekolah,Jumlah Guru,Jumlah Murid,persentase_produktif,persentase_lansia,luas_wilayah_km2,kepadatan_jiwa_per_km2,Ibu_Pekerja,Ibu_Bukan_Pekerja
2013,DKI Jakarta,ADM. KEPULAUAN SERIBU,24547,11.01,5.47,14,205,2500,62.93,2.69,11.81,17789.0,42,219
2013,DKI Jakarta,JAKARTA BARAT,3994719,3.46,8.35,676,8929,184456,65.38,15.17,127.11,1556852.0,10277,20370
2013,DKI Jakarta,JAKARTA PUSAT,1096579,3.7,8.16,395,4477,82361,71.29,5.28,48.08,1291277.0,2567,3960
2013,DKI Jakarta,JAKARTA SELATAN,2101369,3.47,8.25,677,12612,175106,70.76,3.86,145.73,1103949.0,3126,7011
2013,DKI Jakarta,JAKARTA TIMUR,2832515,3.1,8.99,825,11750,250531,71.09,3.29,188.19,1340199.0,28997,30039
2013,DKI Jakarta,JAKARTA UTARA,2949087,5.3,9.26,461,6193,134601,65.61,14.46,143.21,557011.0,5539,9782
2014,DKI Jakarta,ADM. KEPULAUAN SERIBU,25101,11.62,5.43,14,203,2526,62.95,2.99,11.81,18269.0,48,236
2014,DKI Jakarta,JAKARTA BARAT,2274126,3.47,9.0,664,8989,183322,70.63,3.59,127.11,1532954.0,10284,18860
2014,DKI Jakarta,JAKARTA PUSAT,1092173,3.72,7.81,377,4467,81362,70.59,4.85,48.08,1324939.0,2858,4035
2014,DKI Jakarta,JAKARTA SELATAN,2111670,3.49,7.56,649,12013,172247,70.25,4.01,145.73,1104984.0,3828,7352
2014,DKI Jakarta,JAKARTA TIMUR,2850355,3.12,8.72,801,11836,248832,70.48,3.45,188.19,1341641.0,26766,28042
2014,DKI Jakarta,JAKARTA UTARA,1658846,5.14,8.88,445,6293,133079,70.27,3.45,143.21,547472.0,5855,9782
2015,DKI Jakarta,ADM. KEPULAUAN SERIBU,25535,11.01,5.51,14,205,2543,62.52,3.09,8.7,23795.0,34,218
2015,DKI Jakarta,JAKARTA BARAT,2304002,3.46,6.31,605,8915,184172,69.74,3.71,130.49,1786410.0,10291,17350
2015,DKI Jakarta,JAKARTA PUSAT,1097752,3.7,6.51,310,4213,79801,70.43,5.0,48.13,1358461.0,3521,4291
2015,DKI Jakarta,JAKARTA SELATAN,2146804,3.47,6.36,557,8866,169451,69.68,4.14,144.57,1270808.0,6528,6619
2015,DKI Jakarta,JAKARTA TIMUR,2923502,3.1,9.13,688,11740,247680,69.85,3.59,188.33,1366094.0,24779,27171
2015,DKI Jakarta,JAKARTA UTARA,1695291,5.3,7.11,395,6322,132007,69.36,3.6,137.56,588049.0,6162,9432
2016,DKI Jakarta,ADM. KEPULAUAN SERIBU,27041,12.58,5.43,14,203,2569,63.43,3.35,8.7,25249.0,63,346
2016,DKI Jakarta,JAKARTA BARAT,2317181,3.38,5.21,593,8975,183038,73.49,4.21,130.49,1776631.0,10382,12517
2016,DKI Jakarta,JAKARTA PUSAT,1134961,3.91,6.51,292,4203,78802,70.87,5.31,48.13,1404559.0,4323,4741
2016,DKI Jakarta,JAKARTA SELATAN,2184264,3.27,6.36,529,8267,166592,72.45,4.52,144.57,1292064.0,10920,9496
2016,DKI Jakarta,JAKARTA TIMUR,2935685,3.19,6.15,664,11826,245981,72.15,3.92,188.33,1368701.0,13697,14595
2016,DKI Jakarta,JAKARTA UTARA,1706276,3.57,7.11,379,6422,130485,71.39,3.99,137.56,592651.0,7612,10157
2017,DKI Jakarta,ADM. KEPULAUAN SERIBU,18942,12.98,7.33,14,182,2453,25.41,10.77,8.7,25695.0,107,214
2017,DKI Jakarta,JAKARTA BARAT,1712667,3.25,6.4,599,8413,183131,28.6,10.92,130.49,1780985.0,10781,11430
2017,DKI Jakarta,JAKARTA PUSAT,820780,3.78,6.82,302,3869,80991,29.61,13.14,48.13,1407721.0,3283,4083
2017,DKI Jakarta,JAKARTA SELATAN,1591360,3.38,6.86,535,8687,170240,29.18,10.68,144.57,1292590.0,10181,8459
2017,DKI Jakarta,JAKARTA TIMUR,2137038,3.31,7.8,651,11258,248017,29.0,9.26,188.33,1371363.0,15237,10692
2017,DKI Jakarta,JAKARTA UTARA,4276050,5.59,7.67,375,5699,132851,25.32,11.02,137.56,595348.0,7194,11305
2018,DKI Jakarta,ADM. KEPULAUAN SERIBU,28289,11.98,5.33,14,182,2453,63.97,3.34,8.7,26420.0,70,364
2018,DKI Jakarta,JAKARTA BARAT,2282148,3.39,5.0,599,8413,183131,71.57,4.85,130.49,1587478.0,9107,12114
2018,DKI Jakarta,JAKARTA PUSAT,1081669,3.59,6.64,302,3869,80991,71.06,6.21,48.13,1416656.0,4813,4312
2018,DKI Jakarta,JAKARTA SELATAN,2147053,2.83,6.31,535,8687,170240,71.32,5.12,144.57,1179592.0,10215,8454
2018,DKI Jakarta,JAKARTA TIMUR,2884061,3.14,6.67,651,11258,248017,71.35,4.63,188.33,1434875.0,14534,13968
2018,DKI Jakarta,JAKARTA UTARA,1641698,5.35,7.01,375,5699,132851,70.38,4.7,137.56,617039.0,7030,9220
2019,DKI Jakarta,ADM. KEPULAUAN SERIBU,28716,12.09,5.44,14,169,2019,64.77,2.58,8.7,27108.0,63,295
2019,DKI Jakarta,JAKARTA BARAT,2505315,3.25,5.21,599,8905,185628,72.03,3.58,130.49,1613301.0,10963,7257
2019,DKI Jakarta,JAKARTA PUSAT,1127593,3.68,7.51,281,4159,81426,71.97,4.29,48.13,1420140.0,4732,4880
2019,DKI Jakarta,JAKARTA SELATAN,2309643,2.73,6.84,505,8868,167331,72.29,3.74,144.57,1202158.0,10391,8845
2019,DKI Jakarta,JAKARTA TIMUR,3146725,3.12,6.15,642,11801,248783,71.7,3.52,188.33,1464873.0,13205,17498
2019,DKI Jakarta,JAKARTA UTARA,1797871,5.04,6.32,356,6120,133714,71.14,3.55,137.56,630833.0,8034,10955
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,29230,14.87,7.37,14,164,2549,63.85,3.51,8.7,28661.0,87,339
2020,DKI Jakarta,JAKARTA BARAT,2569462,4.25,12.27,599,8380,185166,70.48,4.86,130.49,1622709.0,10325,9800
2020,DKI Jakarta,JAKARTA PUSAT,1153399,4.51,10.97,279,3890,80522,70.59,6.7,48.13,1441617.0,4604,4484
2020,DKI Jakarta,JAKARTA SELATAN,2367002,3.43,10.79,488,8414,166193,70.89,5.07,144.57,1218526.0,8040,9398
2020,DKI Jakarta,JAKARTA TIMUR,3234003,4.16,9.29,639,11243,247836,70.42,4.61,188.33,1485652.0,13380,16060
2020,DKI Jakarta,JAKARTA UTARA,1843537,6.78,11.79,345,5833,132539,69.74,4.7,137.56,643137.0,7751,11048
